Month,Day of Week,Portion of Day,Purpose,Start Location Type,End Location Type,Total Commutes
March,Tuesday,Morning,Eating,Unknown,Restaurant,102
March,Tuesday,Morning,Eating,Pub,Restaurant,14
March,Tuesday,Morning,Eating,Home,Restaurant,219
March,Tuesday,Morning,Eating,Work,Restaurant,1278
March,Tuesday,Morning,Coming Back From Restaurant,Restaurant,Home,210
March,Tuesday,Morning,Coming Back From Restaurant,Restaurant,Pub,16
March,Tuesday,Morning,Coming Back From Restaurant,Restaurant,Unknown,10
March,Tuesday,Morning,Coming Back From Restaurant,Restaurant,Work,775
March,Tuesday,Morning,Work/Home Commute,Home,Work,7504
March,Tuesday,Morning,Work/Home Commute,Unknown,Work,40
March,Tuesday,Morning,Work/Home Commute,Restaurant,Work,91
March,Tuesday,Morning,Recreation (Social Gathering),Home,Pub,352
March,Tuesday,Morning,Going Back to Home,Pub,Home,603
March,Tuesday,Morning,Going Back to Home,Restaurant,Home,23
March,Tuesday,Afternoon,Eating,Work,Restaurant,3042
March,Tuesday,Afternoon,Eating,Unknown,Restaurant,5
March,Tuesday,Afternoon,Eating,Pub,Restaurant,20
March,Tuesday,Afternoon,Eating,Home,Restaurant,26
March,Tuesday,Afternoon,Going Back to Home,Pub,Home,114
March,Tuesday,Afternoon,Coming Back From Restaurant,Restaurant,Home,23
March,Tuesday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,19
March,Tuesday,Afternoon,Coming Back From Restaurant,Restaurant,Work,3033
March,Tuesday,Afternoon,Coming Back From Restaurant,Restaurant,Unknown,6
March,Tuesday,Afternoon,Recreation (Social Gathering),Home,Pub,108
March,Tuesday,Evening,Eating,Work,Restaurant,2010
March,Tuesday,Evening,Eating,Pub,Restaurant,173
March,Tuesday,Evening,Eating,Home,Restaurant,690
March,Tuesday,Evening,Eating,Unknown,Restaurant,30
March,Tuesday,Evening,Going Back to Home,Pub,Home,350
March,Tuesday,Evening,Coming Back From Restaurant,Restaurant,Pub,97
March,Tuesday,Evening,Coming Back From Restaurant,Restaurant,Work,2518
March,Tuesday,Evening,Coming Back From Restaurant,Restaurant,Home,471
March,Tuesday,Evening,Coming Back From Restaurant,Restaurant,Unknown,14
March,Tuesday,Evening,Recreation (Social Gathering),Home,Pub,2343
March,Tuesday,Evening,Work/Home Commute,Work,Home,7480
March,Tuesday,Evening,Work/Home Commute,Work,Unknown,131
March,Tuesday,Night,Going Back to Home,Pub,Home,5563
March,Tuesday,Night,Going Back to Home,Restaurant,Home,117
March,Tuesday,Night,Going Back to Home,Restaurant,Unknown,9
March,Tuesday,Night,Coming Back From Restaurant,Restaurant,Home,1102
March,Tuesday,Night,Coming Back From Restaurant,Restaurant,Pub,731
March,Tuesday,Night,Coming Back From Restaurant,Restaurant,Unknown,101
March,Tuesday,Night,Coming Back From Restaurant,Restaurant,Work,4
March,Tuesday,Night,Recreation (Social Gathering),Home,Pub,4034
March,Tuesday,Night,Eating,Pub,Restaurant,705
March,Tuesday,Night,Eating,Unknown,Restaurant,99
March,Tuesday,Night,Eating,Home,Restaurant,965
March,Tuesday,Night,Work/Home Commute,Work,Home,24
March,Wednesday,Morning,Eating,Unknown,Restaurant,140
March,Wednesday,Morning,Eating,Pub,Restaurant,22
March,Wednesday,Morning,Eating,Home,Restaurant,251
March,Wednesday,Morning,Eating,Work,Restaurant,1076
March,Wednesday,Morning,Going Back to Home,Pub,Home,824
March,Wednesday,Morning,Going Back to Home,Restaurant,Unknown,4
March,Wednesday,Morning,Going Back to Home,Restaurant,Home,16
March,Wednesday,Morning,Coming Back From Restaurant,Restaurant,Pub,15
March,Wednesday,Morning,Coming Back From Restaurant,Restaurant,Home,251
March,Wednesday,Morning,Coming Back From Restaurant,Restaurant,Unknown,20
March,Wednesday,Morning,Coming Back From Restaurant,Restaurant,Work,530
March,Wednesday,Morning,Recreation (Social Gathering),Home,Pub,437
March,Wednesday,Morning,Work/Home Commute,Home,Work,8320
March,Wednesday,Morning,Work/Home Commute,Unknown,Work,9
March,Wednesday,Morning,Work/Home Commute,Restaurant,Work,120
March,Wednesday,Afternoon,Eating,Work,Restaurant,3391
March,Wednesday,Afternoon,Eating,Pub,Restaurant,25
March,Wednesday,Afternoon,Eating,Unknown,Restaurant,2
March,Wednesday,Afternoon,Eating,Home,Restaurant,36
March,Wednesday,Afternoon,Going Back to Home,Pub,Home,162
March,Wednesday,Afternoon,Recreation (Social Gathering),Home,Pub,137
March,Wednesday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,35
March,Wednesday,Afternoon,Coming Back From Restaurant,Restaurant,Work,3331
March,Wednesday,Afternoon,Coming Back From Restaurant,Restaurant,Unknown,2
March,Wednesday,Afternoon,Coming Back From Restaurant,Restaurant,Home,38
March,Wednesday,Evening,Eating,Work,Restaurant,2273
March,Wednesday,Evening,Eating,Pub,Restaurant,221
March,Wednesday,Evening,Eating,Unknown,Restaurant,33
March,Wednesday,Evening,Eating,Home,Restaurant,730
March,Wednesday,Evening,Going Back to Home,Pub,Home,434
March,Wednesday,Evening,Coming Back From Restaurant,Restaurant,Pub,127
March,Wednesday,Evening,Coming Back From Restaurant,Restaurant,Work,2874
March,Wednesday,Evening,Coming Back From Restaurant,Restaurant,Home,504
March,Wednesday,Evening,Coming Back From Restaurant,Restaurant,Unknown,21
March,Wednesday,Evening,Work/Home Commute,Work,Home,8294
March,Wednesday,Evening,Work/Home Commute,Work,Unknown,129
March,Wednesday,Evening,Recreation (Social Gathering),Home,Pub,2654
March,Wednesday,Night,Going Back to Home,Pub,Home,6310
March,Wednesday,Night,Going Back to Home,Restaurant,Unknown,8
March,Wednesday,Night,Going Back to Home,Restaurant,Home,125
March,Wednesday,Night,Eating,Pub,Restaurant,771
